wl,n,k
2.48E-01,4.43E-01,1.17E+00
2.53E-01,5.00E-01,1.35E+00
2.58E-01,6.03E-01,1.52E+00
2.63E-01,7.74E-01,1.69E+00
2.68E-01,1.04E+00,1.81E+00
2.74E-01,1.39E+00,1.78E+00
2.79E-01,1.68E+00,1.54E+00
2.85E-01,1.75E+00,1.19E+00
2.90E-01,1.66E+00,9.14E-01
2.96E-01,1.50E+00,7.35E-01
3.02E-01,1.32E+00,6.31E-01
3.08E-01,1.13E+00,5.81E-01
3.14E-01,9.43E-01,5.75E-01
3.20E-01,7.59E-01,6.13E-01
3.27E-01,5.90E-01,6.97E-01
3.33E-01,4.56E-01,8.18E-01
3.40E-01,3.63E-01,9.52E-01
3.46E-01,3.01E-01,1.08E+00
3.53E-01,2.59E-01,1.20E+00
3.60E-01,2.29E-01,1.32E+00
3.67E-01,2.07E-01,1.42E+00
3.75E-01,1.91E-01,1.52E+00
3.82E-01,1.78E-01,1.62E+00
3.90E-01,1.68E-01,1.71E+00
3.97E-01,1.60E-01,1.80E+00
4.05E-01,1.54E-01,1.89E+00
4.13E-01,1.49E-01,1.97E+00
4.22E-01,1.45E-01,2.06E+00
4.30E-01,1.41E-01,2.14E+00
4.39E-01,1.39E-01,2.22E+00
4.47E-01,1.37E-01,2.30E+00
4.56E-01,1.35E-01,2.38E+00
4.65E-01,1.34E-01,2.47E+00
4.74E-01,1.33E-01,2.55E+00
4.84E-01,1.32E-01,2.63E+00
4.93E-01,1.32E-01,2.71E+00
5.03E-01,1.32E-01,2.79E+00
5.13E-01,1.32E-01,2.88E+00
5.23E-01,1.33E-01,2.96E+00
5.34E-01,1.33E-01,3.04E+00
5.44E-01,1.34E-01,3.13E+00
5.55E-01,1.35E-01,3.21E+00
5.66E-01,1.36E-01,3.30E+00
5.77E-01,1.37E-01,3.39E+00
5.89E-01,1.38E-01,3.48E+00
6.01E-01,1.39E-01,3.57E+00
6.13E-01,1.41E-01,3.66E+00
6.25E-01,1.43E-01,3.75E+00
6.37E-01,1.44E-01,3.84E+00
6.50E-01,1.46E-01,3.93E+00
6.63E-01,1.48E-01,4.03E+00
6.76E-01,1.50E-01,4.13E+00
6.89E-01,1.52E-01,4.23E+00
7.03E-01,1.55E-01,4.33E+00
7.17E-01,1.57E-01,4.43E+00
7.31E-01,1.60E-01,4.53E+00
7.46E-01,1.63E-01,4.63E+00
7.60E-01,1.65E-01,4.74E+00
7.75E-01,1.68E-01,4.85E+00
7.91E-01,1.71E-01,4.96E+00
8.07E-01,1.75E-01,5.07E+00
8.23E-01,1.78E-01,5.18E+00
8.39E-01,1.81E-01,5.30E+00
8.56E-01,1.85E-01,5.42E+00
8.73E-01,1.89E-01,5.54E+00
8.90E-01,1.93E-01,5.66E+00
9.08E-01,1.97E-01,5.78E+00
9.26E-01,2.01E-01,5.91E+00
9.44E-01,2.06E-01,6.04E+00
9.63E-01,2.10E-01,6.17E+00
9.82E-01,2.15E-01,6.30E+00
1.00E+00,2.20E-01,6.43E+00
