wl,n,k
2.21E-01,1.42E+00,3.20E+00
2.22E-01,1.45E+00,3.24E+00
2.23E-01,1.47E+00,3.28E+00
2.24E-01,1.50E+00,3.32E+00
2.26E-01,1.53E+00,3.36E+00
2.27E-01,1.56E+00,3.40E+00
2.28E-01,1.59E+00,3.45E+00
2.29E-01,1.63E+00,3.49E+00
2.30E-01,1.67E+00,3.54E+00
2.31E-01,1.71E+00,3.59E+00
2.32E-01,1.76E+00,3.64E+00
2.33E-01,1.82E+00,3.68E+00
2.34E-01,1.87E+00,3.73E+00
2.35E-01,1.94E+00,3.78E+00
2.37E-01,2.00E+00,3.83E+00
2.38E-01,2.08E+00,3.88E+00
2.39E-01,2.16E+00,3.93E+00
2.40E-01,2.25E+00,3.97E+00
2.41E-01,2.34E+00,4.01E+00
2.42E-01,2.45E+00,4.05E+00
2.44E-01,2.55E+00,4.08E+00
2.45E-01,2.67E+00,4.10E+00
2.46E-01,2.79E+00,4.11E+00
2.47E-01,2.92E+00,4.12E+00
2.49E-01,3.05E+00,4.11E+00
2.50E-01,3.18E+00,4.09E+00
2.51E-01,3.31E+00,4.06E+00
2.53E-01,3.44E+00,4.02E+00
2.54E-01,3.57E+00,3.97E+00
2.55E-01,3.69E+00,3.90E+00
2.57E-01,3.80E+00,3.83E+00
2.58E-01,3.91E+00,3.76E+00
2.59E-01,4.01E+00,3.67E+00
2.61E-01,4.10E+00,3.58E+00
2.62E-01,4.19E+00,3.49E+00
2.64E-01,4.28E+00,3.38E+00
2.65E-01,4.36E+00,3.27E+00
2.67E-01,4.43E+00,3.15E+00
2.68E-01,4.48E+00,3.02E+00
2.70E-01,4.52E+00,2.88E+00
2.71E-01,4.53E+00,2.75E+00
2.73E-01,4.53E+00,2.62E+00
2.74E-01,4.51E+00,2.50E+00
2.76E-01,4.47E+00,2.39E+00
2.77E-01,4.43E+00,2.30E+00
2.79E-01,4.39E+00,2.23E+00
2.80E-01,4.34E+00,2.16E+00
2.82E-01,4.28E+00,2.11E+00
2.84E-01,4.23E+00,2.08E+00
2.85E-01,4.18E+00,2.05E+00
2.87E-01,4.14E+00,2.05E+00
2.89E-01,4.09E+00,2.05E+00
2.91E-01,4.06E+00,2.07E+00
2.92E-01,4.03E+00,2.11E+00
2.94E-01,4.03E+00,2.17E+00
2.96E-01,4.05E+00,2.24E+00
2.98E-01,4.11E+00,2.32E+00
3.00E-01,4.23E+00,2.39E+00
3.01E-01,4.40E+00,2.41E+00
3.03E-01,4.57E+00,2.36E+00
3.05E-01,4.71E+00,2.24E+00
3.07E-01,4.79E+00,2.10E+00
3.09E-01,4.83E+00,1.98E+00
3.11E-01,4.84E+00,1.89E+00
3.13E-01,4.87E+00,1.82E+00
3.15E-01,4.93E+00,1.76E+00
3.17E-01,5.01E+00,1.68E+00
3.19E-01,5.09E+00,1.55E+00
3.21E-01,5.14E+00,1.38E+00
3.24E-01,5.14E+00,1.20E+00
3.26E-01,5.10E+00,1.03E+00
3.28E-01,5.03E+00,8.89E-01
3.30E-01,4.95E+00,7.78E-01
3.32E-01,4.86E+00,6.89E-01
3.35E-01,4.78E+00,6.19E-01
3.37E-01,4.71E+00,5.62E-01
3.39E-01,4.63E+00,5.15E-01
3.42E-01,4.57E+00,4.76E-01
3.44E-01,4.51E+00,4.44E-01
3.47E-01,4.45E+00,4.16E-01
3.49E-01,4.40E+00,3.91E-01
3.52E-01,4.35E+00,3.70E-01
3.54E-01,4.31E+00,3.50E-01
3.57E-01,4.26E+00,3.33E-01
3.60E-01,4.22E+00,3.17E-01
3.62E-01,4.19E+00,3.02E-01
3.65E-01,4.15E+00,2.88E-01
3.68E-01,4.12E+00,2.74E-01
3.71E-01,4.09E+00,2.61E-01
3.74E-01,4.07E+00,2.47E-01
3.76E-01,4.04E+00,2.34E-01
3.79E-01,4.01E+00,2.20E-01
3.82E-01,3.99E+00,2.05E-01
3.85E-01,3.97E+00,1.88E-01
3.89E-01,3.94E+00,1.65E-01
3.92E-01,3.91E+00,1.56E-01
3.95E-01,3.89E+00,1.46E-01
3.98E-01,3.86E+00,1.35E-01
4.01E-01,3.84E+00,1.23E-01
4.05E-01,3.82E+00,1.10E-01
4.08E-01,3.80E+00,9.32E-02
4.12E-01,3.76E+00,7.83E-02
4.15E-01,3.73E+00,6.57E-02
4.19E-01,3.71E+00,4.71E-02
4.22E-01,3.68E+00,3.32E-02
4.26E-01,3.65E+00,2.81E-02
4.30E-01,3.63E+00,2.56E-02
4.34E-01,3.60E+00,2.37E-02
4.38E-01,3.58E+00,2.19E-02
4.42E-01,3.56E+00,2.02E-02
4.46E-01,3.54E+00,1.86E-02
4.50E-01,3.52E+00,1.72E-02
4.54E-01,3.50E+00,1.58E-02
4.59E-01,3.48E+00,1.46E-02
4.63E-01,3.46E+00,1.34E-02
4.67E-01,3.45E+00,1.24E-02
4.72E-01,3.43E+00,1.14E-02
4.77E-01,3.41E+00,1.05E-02
4.81E-01,3.40E+00,9.60E-03
4.86E-01,3.38E+00,8.81E-03
4.91E-01,3.37E+00,8.08E-03
4.96E-01,3.35E+00,7.40E-03
5.01E-01,3.34E+00,6.78E-03
5.07E-01,3.33E+00,6.20E-03
5.12E-01,3.31E+00,5.67E-03
5.17E-01,3.30E+00,5.18E-03
5.23E-01,3.29E+00,4.73E-03
5.29E-01,3.28E+00,4.31E-03
5.35E-01,3.26E+00,3.93E-03
5.40E-01,3.25E+00,3.58E-03
5.47E-01,3.24E+00,3.26E-03
5.53E-01,3.23E+00,2.96E-03
5.59E-01,3.22E+00,2.69E-03
5.66E-01,3.21E+00,2.44E-03
5.72E-01,3.20E+00,2.22E-03
5.79E-01,3.19E+00,2.01E-03
5.86E-01,3.18E+00,1.82E-03
5.94E-01,3.17E+00,1.65E-03
6.01E-01,3.16E+00,1.49E-03
6.08E-01,3.15E+00,1.34E-03
6.16E-01,3.14E+00,1.21E-03
6.24E-01,3.14E+00,1.09E-03
6.32E-01,3.13E+00,9.83E-04
6.41E-01,3.12E+00,8.84E-04
6.49E-01,3.11E+00,7.95E-04
6.58E-01,3.10E+00,7.14E-04
6.67E-01,3.09E+00,6.40E-04
6.77E-01,3.09E+00,5.74E-04
6.86E-01,3.08E+00,5.14E-04
6.96E-01,3.07E+00,4.59E-04
7.06E-01,3.07E+00,4.10E-04
7.17E-01,3.06E+00,3.66E-04
7.27E-01,3.05E+00,3.27E-04
7.38E-01,3.05E+00,2.91E-04
7.50E-01,3.04E+00,2.59E-04
7.62E-01,3.03E+00,2.30E-04
7.74E-01,3.03E+00,2.04E-04
7.87E-01,3.02E+00,1.81E-04
8.00E-01,3.01E+00,1.61E-04
8.13E-01,3.01E+00,1.42E-04
8.27E-01,3.00E+00,1.26E-04
8.41E-01,3.00E+00,1.11E-04
8.56E-01,2.99E+00,9.79E-05
8.72E-01,2.99E+00,8.63E-05
8.88E-01,2.98E+00,7.60E-05
9.04E-01,2.98E+00,6.68E-05
9.21E-01,2.97E+00,5.87E-05
9.39E-01,2.97E+00,5.15E-05
9.58E-01,2.96E+00,4.51E-05
9.77E-01,2.96E+00,3.95E-05
9.97E-01,2.95E+00,3.45E-05
1.02E+00,2.95E+00,3.01E-05
1.04E+00,2.94E+00,2.63E-05
1.06E+00,2.94E+00,2.29E-05
1.09E+00,2.94E+00,1.99E-05
1.11E+00,2.93E+00,1.73E-05
1.14E+00,2.93E+00,1.50E-05
1.17E+00,2.92E+00,1.30E-05
1.19E+00,2.92E+00,1.13E-05
1.22E+00,2.92E+00,9.73E-06
1.26E+00,2.91E+00,8.40E-06
1.29E+00,2.91E+00,7.24E-06
1.33E+00,2.91E+00,6.24E-06
1.36E+00,2.90E+00,5.36E-06
1.40E+00,2.90E+00,4.60E-06
1.44E+00,2.90E+00,3.95E-06
1.49E+00,2.89E+00,3.38E-06
1.54E+00,2.89E+00,2.89E-06
1.59E+00,2.89E+00,2.47E-06
1.64E+00,2.89E+00,2.10E-06
1.70E+00,2.88E+00,1.79E-06
1.76E+00,2.88E+00,1.52E-06
1.82E+00,2.88E+00,1.29E-06
1.90E+00,2.88E+00,1.09E-06
1.97E+00,2.87E+00,9.25E-07
2.06E+00,2.87E+00,7.81E-07
2.15E+00,2.87E+00,6.58E-07
2.25E+00,2.87E+00,5.54E-07
2.36E+00,2.87E+00,4.65E-07
2.48E+00,2.86E+00,3.90E-07
