wl,n,k
2.07E-01,1.10E+00,1.87E+00
2.11E-01,1.16E+00,1.89E+00
2.15E-01,1.21E+00,1.90E+00
2.20E-01,1.27E+00,1.90E+00
2.24E-01,1.33E+00,1.90E+00
2.29E-01,1.38E+00,1.89E+00
2.34E-01,1.42E+00,1.88E+00
2.39E-01,1.46E+00,1.86E+00
2.44E-01,1.50E+00,1.83E+00
2.49E-01,1.52E+00,1.81E+00
2.54E-01,1.54E+00,1.78E+00
2.59E-01,1.55E+00,1.75E+00
2.65E-01,1.55E+00,1.72E+00
2.70E-01,1.54E+00,1.69E+00
2.76E-01,1.53E+00,1.66E+00
2.81E-01,1.50E+00,1.65E+00
2.87E-01,1.48E+00,1.63E+00
2.93E-01,1.44E+00,1.63E+00
2.99E-01,1.40E+00,1.63E+00
3.05E-01,1.36E+00,1.64E+00
3.12E-01,1.32E+00,1.66E+00
3.18E-01,1.28E+00,1.69E+00
3.25E-01,1.24E+00,1.73E+00
3.32E-01,1.21E+00,1.77E+00
3.39E-01,1.18E+00,1.82E+00
3.46E-01,1.16E+00,1.88E+00
3.53E-01,1.14E+00,1.94E+00
3.60E-01,1.14E+00,2.01E+00
3.68E-01,1.14E+00,2.07E+00
3.75E-01,1.16E+00,2.13E+00
3.83E-01,1.19E+00,2.18E+00
3.91E-01,1.22E+00,2.22E+00
3.99E-01,1.25E+00,2.25E+00
4.07E-01,1.28E+00,2.26E+00
4.16E-01,1.30E+00,2.26E+00
4.25E-01,1.31E+00,2.24E+00
4.33E-01,1.30E+00,2.22E+00
4.42E-01,1.28E+00,2.20E+00
4.52E-01,1.23E+00,2.19E+00
4.61E-01,1.16E+00,2.19E+00
4.71E-01,1.09E+00,2.20E+00
4.80E-01,1.01E+00,2.23E+00
4.90E-01,9.24E-01,2.28E+00
5.01E-01,8.42E-01,2.34E+00
5.11E-01,7.66E-01,2.42E+00
5.22E-01,6.96E-01,2.51E+00
5.32E-01,6.34E-01,2.60E+00
5.43E-01,5.79E-01,2.70E+00
5.55E-01,5.31E-01,2.81E+00
5.66E-01,4.89E-01,2.92E+00
5.78E-01,4.52E-01,3.03E+00
5.90E-01,4.21E-01,3.14E+00
6.02E-01,3.93E-01,3.26E+00
6.15E-01,3.69E-01,3.37E+00
6.28E-01,3.49E-01,3.49E+00
6.41E-01,3.31E-01,3.61E+00
6.54E-01,3.15E-01,3.73E+00
