wl,n,k
0.22,3.017,1.318
0.24,3.044,0.74
0.26,2.905,0.523
0.28,2.816,0.417
0.3,2.774,0.357
0.32,2.784,0.299
0.34,2.79,0.19
0.36,2.71,0.054
0.38,2.615,0.015
0.4,2.55,0.008
0.42,2.508,0.004
0.44,2.475,0.003
0.46,2.451,0.003
0.48,2.429,0.001
0.5,2.416,0.003
0.52,2.397,0
0.54,2.384,0
0.56,2.373,0.001
0.58,2.363,0.001
0.6,2.355,0.002
0.62,2.348,0.002
0.64,2.341,0.002
0.66,2.335,0.005
0.68,2.331,0.005
0.7,2.327,0.006
0.72,2.322,0.006
0.74,2.319,0.007
0.76,2.316,0.007
0.78,2.313,0.008
0.8,2.31,0.009
0.82,2.308,0.009
0.84,2.306,0.01
0.86,2.304,0.011
0.88,2.303,0.011
0.9,2.301,0.012
0.92,2.3,0.012
0.94,2.299,0.013
0.96,2.298,0.014
0.98,2.298,0.015
1,2.298,0.016
1.02,2.298,0.016
1.04,2.299,0.015
1.06,2.299,0.015
1.08,2.299,0.014
1.1,2.299,0.014
1.12,2.299,0.013
1.14,2.299,0.012
1.16,2.299,0.01
1.18,2.298,0.01
1.2,2.298,0.009
1.22,2.297,0.008
1.24,2.297,0.007
1.26,2.296,0.007
1.28,2.296,0.006
1.3,2.295,0.005
1.32,2.294,0.005
1.34,2.293,0.005
1.36,2.293,0.004
1.38,2.292,0.004
1.4,2.292,0.004
1.42,2.292,0.004
1.44,2.291,0.004
1.46,2.291,0.003
1.48,2.291,0.002
1.5,2.29,0.002
1.52,2.29,0.002
1.54,2.289,0.001
1.56,2.289,0.001
1.58,2.289,0.001
1.6,2.288,0
1.62,2.288,0
1.64,2.287,0
1.66,2.286,0
1.68,2.286,0
1.7,2.286,0
1.72,2.286,0
1.74,2.286,0
1.76,2.286,0
1.78,2.286,0
1.8,2.286,0
1.82,2.286,0
1.84,2.287,0
1.86,2.287,0
1.88,2.287,0
1.9,2.287,0
1.92,2.287,0
1.94,2.287,0
1.96,2.286,0
1.98,2.286,0
2,2.285,0
2.02,2.285,0
2.04,2.284,0
2.06,2.284,0
2.08,2.283,0
2.1,2.281,0
2.12,2.28,0
2.14,2.28,0
2.16,2.279,0
2.18,2.278,0
2.2,2.278,0
2.22,2.277,0
2.24,2.277,0
2.26,2.276,0
2.28,2.276,0
2.3,2.275,0
2.32,2.274,0
2.34,2.273,0
2.36,2.272,0
2.38,2.271,0
2.4,2.271,0
2.42,2.27,0
2.44,2.269,0
2.46,2.268,0
2.48,2.268,0
2.5,2.268,0.003
2.5126,2.268,0.002
2.5253,2.268,0.002
2.5381,2.268,0.002
2.551,2.268,0.002
2.5641,2.268,0.002
2.5773,2.268,0.002
2.5907,2.268,0.002
2.6042,2.268,0.002
2.6178,2.268,0.002
2.6316,2.268,0.002
2.6455,2.268,0.001
2.6596,2.268,0.001
2.6738,2.268,0.001
2.6882,2.267,0.001
2.7027,2.267,0.001
2.7174,2.267,0
2.7322,2.267,0
2.7473,2.266,0
2.7624,2.266,0
2.7778,2.266,0
2.7933,2.265,0
2.809,2.265,0
2.8249,2.264,0
2.8409,2.264,0
2.8571,2.264,0
2.8736,2.263,0
2.8902,2.263,0
2.907,2.263,0
2.924,2.263,0
2.9412,2.263,0
2.9586,2.262,0
2.9762,2.262,0
2.994,2.262,0
3.012,2.262,0
3.0303,2.262,0
3.0488,2.261,0
3.0675,2.261,0.001
3.0864,2.261,0
3.1056,2.261,0
3.125,2.261,0.001
3.1447,2.26,0.001
3.1646,2.26,0.001
3.1847,2.26,0.001
3.2051,2.26,0
3.2258,2.26,0.001
3.2468,2.26,0
3.268,2.259,0.001
3.2895,2.259,0.001
3.3113,2.259,0.001
3.3333,2.259,0.001
3.3557,2.259,0.001
3.3784,2.259,0.001
3.4014,2.259,0.001
3.4247,2.258,0.001
3.4483,2.258,0.001
3.4722,2.258,0.001
3.4965,2.258,0.001
3.5211,2.258,0.001
3.5461,2.258,0.001
3.5714,2.258,0.001
3.5971,2.257,0.001
3.6232,2.257,0.001
3.6496,2.257,0.001
3.6765,2.257,0.001
3.7037,2.257,0.001
3.7313,2.257,0.001
3.7594,2.257,0.001
3.7879,2.256,0.001
3.8168,2.256,0.001
3.8462,2.256,0.001
3.876,2.256,0.001
3.9063,2.256,0
3.937,2.256,0
3.9683,2.255,0
4,2.255,0
4.0323,2.255,0
4.065,2.254,0
4.0984,2.254,0
4.1322,2.254,0
4.1667,2.253,0
4.2017,2.253,0
4.2373,2.252,0
4.2735,2.252,0
4.3103,2.252,0
4.3478,2.251,0
4.386,2.251,0.001
4.4248,2.251,0.001
4.4643,2.25,0.001
4.5045,2.25,0.001
4.5455,2.25,0.001
4.5872,2.25,0.001
4.6296,2.25,0.001
4.6729,2.25,0.001
4.717,2.249,0.001
