wl,n,k
2.21E-01,1.91E+00,2.79E+00
2.22E-01,1.93E+00,2.80E+00
2.22E-01,1.94E+00,2.81E+00
2.22E-01,1.96E+00,2.81E+00
2.23E-01,1.97E+00,2.82E+00
2.23E-01,1.99E+00,2.82E+00
2.23E-01,2.00E+00,2.83E+00
2.24E-01,2.02E+00,2.83E+00
2.24E-01,2.03E+00,2.84E+00
2.24E-01,2.05E+00,2.84E+00
2.25E-01,2.07E+00,2.85E+00
2.25E-01,2.08E+00,2.85E+00
2.25E-01,2.10E+00,2.86E+00
2.26E-01,2.12E+00,2.86E+00
2.26E-01,2.13E+00,2.86E+00
2.26E-01,2.15E+00,2.87E+00
2.27E-01,2.17E+00,2.87E+00
2.27E-01,2.19E+00,2.87E+00
2.27E-01,2.21E+00,2.87E+00
2.28E-01,2.23E+00,2.88E+00
2.28E-01,2.24E+00,2.88E+00
2.28E-01,2.26E+00,2.88E+00
2.29E-01,2.28E+00,2.88E+00
2.29E-01,2.30E+00,2.88E+00
2.29E-01,2.32E+00,2.88E+00
2.30E-01,2.34E+00,2.88E+00
2.30E-01,2.36E+00,2.88E+00
2.31E-01,2.38E+00,2.87E+00
2.31E-01,2.40E+00,2.87E+00
2.31E-01,2.42E+00,2.87E+00
2.32E-01,2.44E+00,2.87E+00
2.32E-01,2.46E+00,2.86E+00
2.32E-01,2.48E+00,2.86E+00
2.33E-01,2.50E+00,2.85E+00
2.33E-01,2.52E+00,2.85E+00
2.33E-01,2.54E+00,2.84E+00
2.34E-01,2.56E+00,2.83E+00
2.34E-01,2.58E+00,2.83E+00
2.34E-01,2.60E+00,2.82E+00
2.35E-01,2.62E+00,2.81E+00
2.35E-01,2.64E+00,2.80E+00
2.36E-01,2.66E+00,2.79E+00
2.36E-01,2.68E+00,2.78E+00
2.36E-01,2.70E+00,2.77E+00
2.37E-01,2.72E+00,2.76E+00
2.37E-01,2.73E+00,2.75E+00
2.37E-01,2.75E+00,2.74E+00
2.38E-01,2.77E+00,2.72E+00
2.38E-01,2.78E+00,2.71E+00
2.39E-01,2.80E+00,2.70E+00
2.39E-01,2.82E+00,2.68E+00
2.39E-01,2.83E+00,2.67E+00
2.40E-01,2.84E+00,2.65E+00
2.40E-01,2.86E+00,2.64E+00
2.40E-01,2.87E+00,2.63E+00
2.41E-01,2.89E+00,2.61E+00
2.41E-01,2.90E+00,2.59E+00
2.42E-01,2.91E+00,2.58E+00
2.42E-01,2.92E+00,2.56E+00
2.42E-01,2.93E+00,2.55E+00
2.43E-01,2.94E+00,2.53E+00
2.43E-01,2.95E+00,2.52E+00
2.44E-01,2.96E+00,2.50E+00
2.44E-01,2.97E+00,2.48E+00
2.44E-01,2.98E+00,2.47E+00
2.45E-01,2.98E+00,2.45E+00
2.45E-01,2.99E+00,2.44E+00
2.46E-01,3.00E+00,2.42E+00
2.46E-01,3.00E+00,2.40E+00
2.46E-01,3.01E+00,2.39E+00
2.47E-01,3.01E+00,2.37E+00
2.47E-01,3.02E+00,2.36E+00
2.48E-01,3.02E+00,2.34E+00
2.48E-01,3.02E+00,2.33E+00
2.48E-01,3.03E+00,2.31E+00
2.49E-01,3.03E+00,2.30E+00
2.49E-01,3.03E+00,2.28E+00
2.50E-01,3.03E+00,2.27E+00
2.50E-01,3.04E+00,2.25E+00
2.50E-01,3.04E+00,2.24E+00
